"YEAR","MNC","NIFTY","MIDCAP"
2001,-7.57161101988687,-16.1845593763603,-29.6891336167839
2002,-8.77342160405723,3.25291534866157,24.2180916976455
2003,51.6785952063913,71.9021490626427,138.258648896692
2004,-4.8744355498006,10.6796116504855,24.9648300117233
2005,49.2106614063321,36.3398221581353,35.0388318937501
2006,31.6868387381083,39.8318379721844,29.0116488233324
2007,26.4162131379492,54.7650262202501,76.9286984951196
2008,-43.2497701160101,-51.7943830840908,-59.3949901357087
2009,90.6712875824481,75.7616207356843,98.9720526823004
2010,11.713051483606,17.9473375568394,19.1637068130448
2011,-13.2219180713635,-24.6181432879615,-30.9956871245993
2012,28.291403335953,27.6971649763208,39.1575382249238
2013,7.73790009490118,6.755177727727,-5.10046913028661
2014,42.4651062228238,31.3880076142133,55.908589694349
2015,7.45100023045486,-4.06087386963186,6.45946987607127
